GameID,Season,SeasonType,Status,Day,DateTime,AwayTeam,HomeTeam,AwayTeamID,HomeTeamID,StadiumID,AwayTeamScore,HomeTeamScore,Updated,GlobalGameID,GlobalAwayTeamID,GlobalHomeTeamID,IsClosed,NeutralVenue,DateTimeUTC
7699,2016,1,Final,2015-10-30T00:00:00,2015-10-30T20:00:00,WAS,MIL,1,15,15,118.0,113.0,2023-10-02T15:39:08,20007699,20000001,20000015,True,False,2015-10-31T00:00:00
7700,2016,1,Final,2015-10-30T00:00:00,2015-10-30T20:30:00,BKN,SA,8,24,24,75.0,102.0,2023-10-02T15:39:08,20007700,20000008,20000024,True,False,2015-10-31T00:30:00
7701,2016,1,Final,2015-10-30T00:00:00,2015-10-30T21:00:00,MIN,DEN,16,20,20,95.0,78.0,2023-10-02T15:39:08,20007701,20000016,20000020,True,False,2015-10-31T01:00:00
7702,2016,1,Final,2015-10-30T00:00:00,2015-10-30T21:30:00,GS,HOU,26,22,22,112.0,92.0,2023-10-02T15:39:08,20007702,20000026,20000022,True,False,2015-10-31T01:30:00
7703,2016,1,Final,2015-10-30T00:00:00,2015-10-30T22:00:00,LAL,SAC,27,30,29,114.0,132.0,2023-10-02T15:39:08,20007703,20000027,20000030,True,False,2015-10-31T02:00:00
7704,2016,1,Final,2015-10-30T00:00:00,2015-10-30T22:30:00,POR,PHO,19,29,28,92.0,110.0,2023-10-02T15:39:08,20007704,20000019,20000029,True,False,2015-10-31T02:30:00
7705,2016,1,Final,2015-10-31T00:00:00,2015-10-31T19:00:00,UTA,IND,17,13,13,97.0,76.0,2023-10-02T15:39:08,20007705,20000017,20000013,True,False,2015-10-31T23:00:00
7706,2016,1,Final,2015-10-31T00:00:00,2015-10-31T19:00:00,NY,WAS,6,1,1,117.0,110.0,2023-10-02T15:39:08,20007706,20000006,20000001,True,False,2015-10-31T23:00:00
7707,2016,1,Final,2015-10-31T00:00:00,2015-10-31T19:30:00,GS,NO,26,23,23,134.0,120.0,2023-10-02T15:39:08,20007707,20000026,20000023,True,False,2015-10-31T23:30:00
7708,2016,1,Final,2015-10-31T00:00:00,2015-10-31T20:00:00,BKN,MEM,8,21,21,91.0,101.0,2023-10-02T15:39:08,20007708,20000008,20000021,True,False,2015-11-01T00:00:00
7709,2016,1,Final,2015-10-31T00:00:00,2015-10-31T22:00:00,PHO,POR,29,19,19,101.0,90.0,2023-10-02T15:39:08,20007709,20000029,20000019,True,False,2015-11-01T02:00:00
7710,2016,1,Final,2015-10-31T00:00:00,2015-10-31T22:30:00,SAC,LAC,30,28,27,109.0,114.0,2023-10-02T15:39:08,20007710,20000030,20000028,True,False,2015-11-01T02:30:00
7711,2016,1,Final,2015-11-01T00:00:00,2015-11-01T14:00:00,ATL,CHA,3,2,2,94.0,92.0,2023-10-02T15:39:08,20007711,20000003,20000002,True,False,2015-11-01T19:00:00
7712,2016,1,Final,2015-11-01T00:00:00,2015-11-01T15:30:00,SA,BOS,24,9,9,95.0,87.0,2023-10-02T15:39:08,20007712,20000024,20000009,True,False,2015-11-01T20:30:00
7713,2016,1,Final,2015-11-01T00:00:00,2015-11-01T18:00:00,HOU,MIA,22,4,4,89.0,109.0,2023-10-02T15:39:08,20007713,20000022,20000004,True,False,2015-11-01T23:00:00
7714,2016,1,Final,2015-11-01T00:00:00,2015-11-01T18:00:00,MIL,TOR,15,10,10,87.0,106.0,2023-10-02T15:39:08,20007714,20000015,20000010,True,False,2015-11-01T23:00:00
7715,2016,1,Final,2015-11-01T00:00:00,2015-11-01T19:00:00,ORL,CHI,5,11,11,87.0,92.0,2023-10-02T15:39:08,20007715,20000005,20000011,True,False,2015-11-02T00:00:00
7716,2016,1,Final,2015-11-01T00:00:00,2015-11-01T19:00:00,DEN,OKC,20,18,18,93.0,117.0,2023-10-02T15:39:08,20007716,20000020,20000018,True,False,2015-11-02T00:00:00
7717,2016,1,Final,2015-11-01T00:00:00,2015-11-01T21:30:00,DAL,LAL,25,27,27,103.0,93.0,2023-10-02T15:39:08,20007717,20000025,20000027,True,False,2015-11-02T02:30:00
7718,2016,1,Final,2015-11-02T00:00:00,2015-11-02T19:00:00,CLE,PHI,12,7,7,107.0,100.0,2023-10-02T15:39:08,20007718,20000012,20000007,True,False,2015-11-03T00:00:00
7719,2016,1,Final,2015-11-02T00:00:00,2015-11-02T19:30:00,MIL,BKN,15,8,8,103.0,96.0,2023-10-02T15:39:08,20007719,20000015,20000008,True,False,2015-11-03T00:30:00
7720,2016,1,Final,2015-11-02T00:00:00,2015-11-02T19:30:00,SA,NY,24,6,6,94.0,84.0,2023-10-02T15:39:08,20007720,20000024,20000006,True,False,2015-11-03T00:30:00
7721,2016,1,Final,2015-11-02T00:00:00,2015-11-02T20:00:00,OKC,HOU,18,22,22,105.0,110.0,2023-10-02T15:39:08,20007721,20000018,20000022,True,False,2015-11-03T01:00:00
7722,2016,1,Final,2015-11-02T00:00:00,2015-11-02T20:00:00,POR,MIN,19,16,16,106.0,101.0,2023-10-02T15:39:08,20007722,20000019,20000016,True,False,2015-11-03T01:00:00
7723,2016,1,Final,2015-11-02T00:00:00,2015-11-02T22:30:00,MEM,GS,21,26,26,69.0,119.0,2023-10-02T15:39:08,20007723,20000021,20000026,True,False,2015-11-03T03:30:00
7724,2016,1,Final,2015-11-02T00:00:00,2015-11-02T22:30:00,PHO,LAC,29,28,27,96.0,102.0,2023-10-02T15:39:08,20007724,20000029,20000028,True,False,2015-11-03T03:30:00
7725,2016,1,Final,2015-11-03T00:00:00,2015-11-03T19:00:00,CHI,CHA,11,2,2,105.0,130.0,2023-10-02T15:39:08,20007725,20000011,20000002,True,False,2015-11-04T00:00:00
7726,2016,1,Final,2015-11-03T00:00:00,2015-11-03T19:30:00,IND,DET,13,14,14,94.0,82.0,2023-10-02T15:39:08,20007726,20000013,20000014,True,False,2015-11-04T00:30:00
7727,2016,1,Final,2015-11-03T00:00:00,2015-11-03T19:30:00,ATL,MIA,3,4,4,98.0,92.0,2023-10-02T15:39:08,20007727,20000003,20000004,True,False,2015-11-04T00:30:00
7728,2016,1,Final,2015-11-03T00:00:00,2015-11-03T20:00:00,ORL,NO,5,23,23,103.0,94.0,2023-10-02T15:39:08,20007728,20000005,20000023,True,False,2015-11-04T01:00:00
7729,2016,1,Final,2015-11-03T00:00:00,2015-11-03T20:30:00,TOR,DAL,10,25,25,102.0,91.0,2023-10-02T15:39:08,20007729,20000010,20000025,True,False,2015-11-04T01:30:00
7730,2016,1,Final,2015-11-03T00:00:00,2015-11-03T22:00:00,MEM,SAC,21,30,29,103.0,89.0,2023-10-02T15:39:08,20007730,20000021,20000030,True,False,2015-11-04T03:00:00
7731,2016,1,Final,2015-11-03T00:00:00,2015-11-03T22:30:00,DEN,LAL,20,27,27,120.0,109.0,2023-10-02T15:39:08,20007731,20000020,20000027,True,False,2015-11-04T03:30:00
7732,2016,1,Final,2015-11-04T00:00:00,2015-11-04T19:00:00,BOS,IND,9,13,13,98.0,100.0,2023-10-02T15:39:08,20007732,20000009,20000013,True,False,2015-11-05T00:00:00
7733,2016,1,Final,2015-11-04T00:00:00,2015-11-04T19:00:00,SA,WAS,24,1,1,99.0,102.0,2023-10-02T15:39:08,20007733,20000024,20000001,True,False,2015-11-05T00:00:00
7734,2016,1,Final,2015-11-04T00:00:00,2015-11-04T20:00:00,BKN,ATL,8,3,3,87.0,101.0,2023-10-02T15:39:08,20007734,20000008,20000003,True,False,2015-11-05T01:00:00
7735,2016,1,Final,2015-11-04T00:00:00,2015-11-04T20:00:00,NY,CLE,6,12,12,86.0,96.0,2023-10-02T15:39:08,20007735,20000006,20000012,True,False,2015-11-05T01:00:00
7736,2016,1,F/OT,2015-11-04T00:00:00,2015-11-04T20:00:00,ORL,HOU,5,22,22,114.0,119.0,2023-10-02T15:39:08,20007736,20000005,20000022,True,False,2015-11-05T01:00:00
7737,2016,1,Final,2015-11-04T00:00:00,2015-11-04T20:00:00,PHI,MIL,7,15,15,87.0,91.0,2023-10-02T15:39:08,20007737,20000007,20000015,True,False,2015-11-05T01:00:00
7738,2016,1,Final,2015-11-04T00:00:00,2015-11-04T20:00:00,TOR,OKC,10,18,18,103.0,98.0,2023-10-02T15:39:08,20007738,20000010,20000018,True,False,2015-11-05T01:00:00
7739,2016,1,Final,2015-11-04T00:00:00,2015-11-04T21:00:00,SAC,PHO,30,29,28,97.0,118.0,2023-10-02T15:39:08,20007739,20000030,20000029,True,False,2015-11-05T02:00:00
7740,2016,1,Final,2015-11-04T00:00:00,2015-11-04T21:00:00,POR,UTA,19,17,17,108.0,92.0,2023-10-02T15:39:08,20007740,20000019,20000017,True,False,2015-11-05T02:00:00
7741,2016,1,Final,2015-11-04T00:00:00,2015-11-04T22:30:00,LAC,GS,28,26,26,108.0,112.0,2023-10-02T15:39:08,20007741,20000028,20000026,True,False,2015-11-05T03:30:00
7742,2016,1,Final,2015-11-05T00:00:00,2015-11-05T20:00:00,OKC,CHI,18,11,11,98.0,104.0,2023-10-02T15:39:08,20007742,20000018,20000011,True,False,2015-11-06T01:00:00
7743,2016,1,Final,2015-11-05T00:00:00,2015-11-05T20:00:00,MIA,MIN,4,16,16,96.0,84.0,2023-10-02T15:39:08,20007743,20000004,20000016,True,False,2015-11-06T01:00:00
7744,2016,1,Final,2015-11-05T00:00:00,2015-11-05T20:30:00,CHA,DAL,2,25,25,108.0,94.0,2023-10-02T15:39:08,20007744,20000002,20000025,True,False,2015-11-06T01:30:00
7745,2016,1,Final,2015-11-05T00:00:00,2015-11-05T21:00:00,UTA,DEN,17,20,20,96.0,84.0,2023-10-02T15:39:08,20007745,20000017,20000020,True,False,2015-11-06T02:00:00
7746,2016,1,Final,2015-11-05T00:00:00,2015-11-05T22:30:00,MEM,POR,21,19,19,96.0,115.0,2023-10-02T15:39:08,20007746,20000021,20000019,True,False,2015-11-06T03:30:00
7747,2016,1,Final,2015-11-06T00:00:00,2015-11-06T19:00:00,TOR,ORL,10,5,5,87.0,92.0,2023-10-02T15:39:08,20007747,20000010,20000005,True,False,2015-11-07T00:00:00
7750,2016,1,Final,2015-11-06T00:00:00,2015-11-06T19:30:00,LAL,BKN,27,8,8,104.0,98.0,2023-10-02T15:39:08,20007750,20000027,20000008,True,False,2015-11-07T00:30:00
7748,2016,1,Final,2015-11-06T00:00:00,2015-11-06T19:30:00,WAS,BOS,1,9,9,98.0,118.0,2023-10-02T15:39:08,20007748,20000001,20000009,True,False,2015-11-07T00:30:00
7749,2016,1,Final,2015-11-06T00:00:00,2015-11-06T19:30:00,PHI,CLE,7,12,12,102.0,108.0,2023-10-02T15:39:08,20007749,20000007,20000012,True,False,2015-11-07T00:30:00
7751,2016,1,Final,2015-11-06T00:00:00,2015-11-06T19:30:00,MIL,NY,15,6,6,99.0,92.0,2023-10-02T15:39:08,20007751,20000015,20000006,True,False,2015-11-07T00:30:00
7753,2016,1,Final,2015-11-06T00:00:00,2015-11-06T20:00:00,MIA,IND,4,13,13,87.0,90.0,2023-10-02T15:39:08,20007753,20000004,20000013,True,False,2015-11-07T01:00:00
7752,2016,1,Final,2015-11-06T00:00:00,2015-11-06T20:00:00,ATL,NO,3,23,23,121.0,115.0,2023-10-02T15:39:08,20007752,20000003,20000023,True,False,2015-11-07T01:00:00
7754,2016,1,Final,2015-11-06T00:00:00,2015-11-06T21:30:00,DET,PHO,14,29,28,100.0,92.0,2023-10-02T15:39:08,20007754,20000014,20000029,True,False,2015-11-07T02:30:00
7755,2016,1,Final,2015-11-06T00:00:00,2015-11-06T22:30:00,DEN,GS,20,26,26,104.0,119.0,2023-10-02T15:39:08,20007755,20000020,20000026,True,False,2015-11-07T03:30:00
7756,2016,1,Final,2015-11-06T00:00:00,2015-11-06T22:30:00,HOU,SAC,22,30,29,116.0,110.0,2023-10-02T15:39:08,20007756,20000022,20000030,True,False,2015-11-07T03:30:00
7757,2016,1,F/OT,2015-11-07T00:00:00,2015-11-07T18:00:00,MIN,CHI,16,11,11,102.0,93.0,2023-10-02T15:39:08,20007757,20000016,20000011,True,False,2015-11-07T23:00:00
7758,2016,1,Final,2015-11-07T00:00:00,2015-11-07T19:00:00,ORL,PHI,5,7,7,105.0,97.0,2023-10-02T15:39:08,20007758,20000005,20000007,True,False,2015-11-08T00:00:00
7759,2016,1,Final,2015-11-07T00:00:00,2015-11-07T19:30:00,WAS,ATL,1,3,3,99.0,114.0,2023-10-02T15:39:08,20007759,20000001,20000003,True,False,2015-11-08T00:30:00
7760,2016,1,Final,2015-11-07T00:00:00,2015-11-07T20:30:00,NO,DAL,23,25,25,98.0,107.0,2023-10-02T15:39:08,20007760,20000023,20000025,True,False,2015-11-08T01:30:00
7761,2016,1,Final,2015-11-07T00:00:00,2015-11-07T20:30:00,BKN,MIL,8,15,15,86.0,94.0,2023-10-02T15:39:08,20007761,20000008,20000015,True,False,2015-11-08T01:30:00
7762,2016,1,Final,2015-11-07T00:00:00,2015-11-07T20:30:00,CHA,SA,2,24,24,94.0,114.0,2023-10-02T15:39:08,20007762,20000002,20000024,True,False,2015-11-08T01:30:00
7763,2016,1,Final,2015-11-07T00:00:00,2015-11-07T21:00:00,MEM,UTA,21,17,17,79.0,89.0,2023-10-02T15:39:08,20007763,20000021,20000017,True,False,2015-11-08T02:00:00
7764,2016,1,Final,2015-11-07T00:00:00,2015-11-07T22:00:00,GS,SAC,26,30,29,103.0,94.0,2023-10-02T15:39:08,20007764,20000026,20000030,True,False,2015-11-08T03:00:00
7765,2016,1,Final,2015-11-07T00:00:00,2015-11-07T22:30:00,HOU,LAC,22,28,27,109.0,105.0,2023-10-02T15:39:08,20007765,20000022,20000028,True,False,2015-11-08T03:30:00
7766,2016,1,Final,2015-11-08T00:00:00,2015-11-08T15:30:00,IND,CLE,13,12,12,97.0,101.0,2023-10-02T15:39:08,20007766,20000013,20000012,True,False,2015-11-08T20:30:00
7767,2016,1,Final,2015-11-08T00:00:00,2015-11-08T15:30:00,LAL,NY,27,6,6,95.0,99.0,2023-10-02T15:39:08,20007767,20000027,20000006,True,False,2015-11-08T20:30:00
7768,2016,1,Final,2015-11-08T00:00:00,2015-11-08T18:00:00,TOR,MIA,10,4,4,76.0,96.0,2023-10-02T15:39:08,20007768,20000010,20000004,True,False,2015-11-08T23:00:00
7769,2016,1,Final,2015-11-08T00:00:00,2015-11-08T19:00:00,PHO,OKC,29,18,18,103.0,124.0,2023-10-02T15:39:08,20007769,20000029,20000018,True,False,2015-11-09T00:00:00
7770,2016,1,Final,2015-11-08T00:00:00,2015-11-08T21:00:00,DET,POR,14,19,19,120.0,103.0,2023-10-02T15:39:08,20007770,20000014,20000019,True,False,2015-11-09T02:00:00
7771,2016,1,Final,2015-11-09T00:00:00,2015-11-09T19:00:00,ORL,IND,5,13,13,84.0,97.0,2023-10-02T15:39:08,20007771,20000005,20000013,True,False,2015-11-10T00:00:00
7772,2016,1,Final,2015-11-09T00:00:00,2015-11-09T19:00:00,CHI,PHI,11,7,7,111.0,88.0,2023-10-02T15:39:08,20007772,20000011,20000007,True,False,2015-11-10T00:00:00
7773,2016,1,Final,2015-11-09T00:00:00,2015-11-09T20:00:00,MIN,ATL,16,3,3,117.0,107.0,2023-10-02T15:39:08,20007773,20000016,20000003,True,False,2015-11-10T01:00:00
7774,2016,1,Final,2015-11-09T00:00:00,2015-11-09T21:00:00,POR,DEN,19,20,20,104.0,108.0,2023-10-02T15:39:08,20007774,20000019,20000020,True,False,2015-11-10T02:00:00
7775,2016,1,Final,2015-11-09T00:00:00,2015-11-09T22:00:00,SA,SAC,24,30,29,106.0,88.0,2023-10-02T15:39:08,20007775,20000024,20000030,True,False,2015-11-10T03:00:00
7776,2016,1,Final,2015-11-09T00:00:00,2015-11-09T22:30:00,DET,GS,14,26,26,95.0,109.0,2023-10-02T15:39:08,20007776,20000014,20000026,True,False,2015-11-10T03:30:00
7777,2016,1,Final,2015-11-09T00:00:00,2015-11-09T22:30:00,MEM,LAC,21,28,27,92.0,94.0,2023-10-02T15:39:08,20007777,20000021,20000028,True,False,2015-11-10T03:30:00
7778,2016,1,Final,2015-11-10T00:00:00,2015-11-10T19:00:00,UTA,CLE,17,12,12,114.0,118.0,2023-10-02T15:39:08,20007778,20000017,20000012,True,False,2015-11-11T00:00:00
7779,2016,1,Final,2015-11-10T00:00:00,2015-11-10T19:00:00,OKC,WAS,18,1,1,125.0,101.0,2023-10-02T15:39:08,20007779,20000018,20000001,True,False,2015-11-11T00:00:00
7780,2016,1,Final,2015-11-10T00:00:00,2015-11-10T19:30:00,LAL,MIA,27,4,4,88.0,101.0,2023-10-02T15:39:08,20007780,20000027,20000004,True,False,2015-11-11T00:30:00
7781,2016,1,Final,2015-11-10T00:00:00,2015-11-10T19:30:00,NY,TOR,6,10,10,111.0,109.0,2023-10-02T15:39:08,20007781,20000006,20000010,True,False,2015-11-11T00:30:00
7783,2016,1,Final,2015-11-10T00:00:00,2015-11-10T20:00:00,BOS,MIL,9,15,15,99.0,83.0,2023-10-02T15:39:08,20007783,20000009,20000015,True,False,2015-11-11T01:00:00
7784,2016,1,Final,2015-11-10T00:00:00,2015-11-10T20:00:00,CHA,MIN,2,16,16,104.0,95.0,2023-10-02T15:39:08,20007784,20000002,20000016,True,False,2015-11-11T01:00:00
