Team,m,Wins,Losses,Possessions,FantasyPoints,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersPercentage,ThreePointersPercentage,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingPercentage,PlusMinus,DoubleDoubles,TripleDoubles,SeasonType,WinPercentage
ATL,m0,22.0,22.5,144.34285714285716,318.2862369337979,67.45,76.75,77.05,50.85,113.5,18.045731707317074,47.57378048780488,65.61236933797909,35.720644599303135,10.349216027874565,7.35705574912892,17.715069686411148,25.58040069686411,168.27195121951218,81.35,-11.238240418118467,1.6571428571428573,0.00975609756097561,,0.4943820224719101
ATL,m1,0.5,0.5,54.97777777777778,122.85555555555555,25.61111111111111,29.633333333333333,29.266666666666666,19.716666666666665,44.46666666666667,4.661111111111111,16.944444444444443,23.916666666666668,13.516666666666667,2.6666666666666665,1.3055555555555556,4.605555555555556,7.966666666666667,66.32222222222222,31.97222222222222,2.3444444444444454,0.44999999999999996,0.0,1.0,0.5
ATL,m2,0.2857142857142857,0.7142857142857143,53.607142857142854,120.72857142857143,25.107142857142858,29.45,29.0,20.135714285714283,44.19285714285714,4.285714285714286,16.907142857142855,24.092857142857145,14.328571428571427,1.9142857142857144,1.2642857142857142,3.457142857142857,9.307142857142859,64.97142857142858,31.24285714285714,-6.521428571428571,0.5785714285714285,0.0,1.0,0.2857142857142857
ATL,m3,0.4666666666666667,0.5333333333333333,54.806666666666665,118.69333333333334,24.3,27.753333333333334,28.08,18.026666666666664,42.53333333333333,4.086666666666667,17.166666666666668,24.39333333333333,13.72,2.1466666666666665,1.28,4.166666666666667,8.48,63.05333333333333,30.1,-20.32,0.5,0.0,1.0,0.4666666666666667
ATL,m4,0.5,0.5,54.375,123.35000000000001,25.175,29.058333333333334,29.316666666666666,19.166666666666668,43.675000000000004,4.125,17.983333333333334,24.900000000000002,14.416666666666666,1.7,1.5333333333333332,3.233333333333333,6.9750000000000005,65.27499999999999,31.083333333333332,-0.008333333333332563,0.5499999999999999,0.0,1.0,0.5
ATL,m5,0.5333333333333333,0.4666666666666667,51.03333333333333,117.71333333333334,25.373333333333335,29.639999999999997,28.433333333333334,20.993333333333332,40.54666666666667,3.44,16.733333333333334,23.14,14.626666666666667,2.2066666666666666,1.38,3.3333333333333335,7.493333333333334,60.773333333333326,31.10666666666667,4.046666666666667,0.44,0.0,1.0,0.5333333333333333
ATL,m6,0.2222222222222222,0.7777777777777778,64.47777777777777,134.05555555555554,29.166666666666668,33.56666666666667,34.599999999999994,21.366666666666667,48.044444444444444,3.7777777777777777,20.766666666666666,26.677777777777777,18.355555555555554,2.7777777777777777,1.322222222222222,6.088888888888889,10.577777777777778,71.41111111111111,35.888888888888886,-35.28888888888889,0.8222222222222222,0.06666666666666667,1.2222222222222223,0.2222222222222222
BKN,m0,22.5,20.5,133.44085365853658,275.7012195121951,66.25,76.69999999999999,78.2,50.15,109.1,9.824085365853659,43.99237804878049,53.80396341463414,34.06676829268293,8.730487804878049,6.9125,17.42012195121951,25.81189024390244,146.1609756097561,81.55,-43.63414634146342,1.1064024390243903,0.028658536585365855,,0.5232558139534884
BKN,m1,0.5,0.5,107.25,243.52777777777777,51.81111111111111,61.233333333333334,58.57777777777778,42.72777777777778,84.47222222222223,13.494444444444445,39.05555555555556,52.22777777777778,28.255555555555556,7.144444444444444,6.411111111111111,14.211111111111112,20.322222222222223,127.13333333333334,64.14444444444445,7.122222222222222,1.0,0.0,1.0,0.5
BKN,m2,0.4,0.6,107.62666666666668,245.25333333333336,49.93333333333333,57.086666666666666,55.940000000000005,39.333333333333336,82.72,14.993333333333334,35.31333333333334,50.193333333333335,29.526666666666664,7.453333333333333,6.96,12.133333333333333,20.946666666666665,126.18,60.8,-17.5,1.04,0.0,1.0,0.4
